Start,End,SleepQuality,SleepHours,WakeUp,SleepNotes,HeartRate,ActivitySteps
2/8/2016 0:44,2/8/2016 7:45,68%,7:01,,Drank coffee:Drank tea,,0
2/8/2016 22:43,2/9/2016 6:40,77%,7:56,,Drank coffee:Drank tea:Worked out,,0
2/9/2016 21:57,2/10/2016 5:31,66%,7:33,,Drank coffee:Worked out,,0
2/13/2016 23:41,2/14/2016 5:11,38%,5:30,,Drank coffee,,0
2/14/2016 22:07,2/15/2016 5:53,84%,7:45,,Drank coffee:Stressful day,,0
2/15/2016 22:07,2/16/2016 5:25,76%,7:18,,Drank coffee:Worked out,,0
2/16/2016 22:20,2/17/2016 5:32,70%,7:12,,Drank coffee:Worked out,,0
2/17/2016 21:33,2/18/2016 6:24,90%,8:51,,Drank coffee:Stressful day:Worked out,,0
2/18/2016 22:47,2/19/2016 6:26,77%,7:39,,Drank coffee:Drank tea:Worked out,,0
2/20/2016 23:12,2/21/2016 7:41,69%,8:28,,Drank coffee,,0
2/22/2016 22:04,2/23/2016 6:23,85%,8:19,,Drank coffee,,0
2/23/2016 22:18,2/24/2016 6:25,94%,8:06,,Drank coffee:Worked out,,0
2/24/2016 21:59,2/25/2016 5:43,88%,7:44,,Drank tea:Worked out,,0
2/26/2016 0:15,2/26/2016 6:35,68%,6:20,,Drank tea:Worked out,,0
2/27/2016 23:33,2/28/2016 7:50,92%,8:17,,Drank coffee,,0
2/28/2016 22:19,2/29/2016 5:45,64%,7:25,,Drank tea,,0
2/29/2016 21:55,3/1/2016 6:22,78%,8:26,,Drank tea:Worked out,,0
3/1/2016 23:22,3/2/2016 5:50,70%,6:28,,Drank tea:Worked out,,0
3/2/2016 22:15,3/3/2016 6:21,95%,8:06,,Drank coffee:Drank tea:Worked out,,0
3/3/2016 22:01,3/4/2016 6:17,90%,8:16,,Drank tea:Worked out,,0
